region,country,dstIndex,digitalServices,cyberIndex,aiReadiness,techInvestment,logisticIndex,connectivityIndex,ictImports
OECD,Israel,0.820,0.778,0.909,0.960,0.833,0.720,0.822,0.271
OECD,Italy,0.874,0.809,0.961,0.608,0.357,0.740,0.822,0.123
LAC,Jamaica,,,0.325,0.264,0.335,0.500,0.514,0.090
OECD,Japan,0.918,0.876,0.978,0.721,0.717,0.780,0.846,0.313
ASEAN,Laos,0.501,0.310,0.203,0.079,0.478,0.480,0.525,0.205
OECD,Latvia,0.777,0.551,0.973,0.658,0.373,0.700,0.798,0.152
OECD,Lithuania,0.896,0.528,0.979,0.669,0.506,0.680,0.833,0.127
OECD,Luxembourg,0.917,0.861,0.974,0.727,0.949,0.720,0.861,0.094
ASEAN,Malaysia,,0.668,0.981,0.844,0.764,0.720,0.739,0.670
LAC,Mexico,0.921,0.657,0.817,0.363,0.368,0.580,0.717,0.469
ASEAN,Myanmar,,,0.364,0.413,0.384,0.000,0.475,0.056
OECD,Netherlands,0.896,0.874,0.971,0.776,0.666,0.820,0.868,0.314
OECD,New Zealand,0.860,0.657,0.840,0.813,0.516,0.720,0.878,0.163
LAC,Nicaragua,,0.447,0.090,0.340,0.022,0.500,0.503,0.124
OECD,Norway,0.939,0.701,0.969,0.806,0.456,0.740,0.905,0.170
LAC,Panama,,0.586,0.341,0.566,0.289,0.620,0.709,0.143
LAC,Paraguay,0.819,0.283,0.571,0.247,0.067,0.540,0.652,0.167
LAC,Peru,0.758,0.470,0.557,0.557,0.253,0.600,0.661,0.148
ASEAN,Philippines,0.873,0.695,0.770,0.275,0.392,0.660,0.630,0.560
OECD,Poland,0.697,0.738,0.939,0.705,0.379,0.720,0.801,0.229
OECD,Portugal,0.855,0.645,0.973,0.732,0.545,0.680,0.808,0.171
ASEAN,Singapore,0.800,,0.985,1.000,0.996,0.860,0.931,1.000
OECD,Slovakia,0.920,0.601,0.924,0.633,0.300,0.660,0.820,0.243
OECD,Slovenia,0.819,0.562,0.749,0.708,0.459,0.660,0.830,0.115
OECD,South Korea,0.797,0.785,0.985,0.774,0.775,0.760,0.836,0.559
OECD,Spain,0.877,0.782,0.985,0.647,0.381,0.780,0.845,0.113
LAC,Suriname,,,0.312,0.282,0.235,0.000,0.571,0.091
OECD,Sweden,0.878,0.790,0.946,0.869,0.714,0.800,0.878,0.189
OECD,Switzerland,0.939,0.866,0.870,0.693,0.573,0.820,0.912,0.112
ASEAN,Thailand,0.859,0.580,0.865,0.306,0.644,0.700,0.738,0.341
LAC,Trinidad and Tobago,,0.404,0.222,0.660,0.368,0.500,0.649,0.130
OECD,Turkey,0.736,0.714,0.975,0.365,0.502,0.680,0.747,0.115
OECD,United Kingdom,0.939,0.856,0.995,0.833,0.665,0.740,0.879,0.165
OECD,USA,0.939,1.000,1.000,0.740,0.786,0.760,0.886,0.689
LAC,Uruguay,0.682,0.579,0.752,0.752,0.435,0.600,0.765,0.106
LAC,Venezuela,,0.000,0.271,0.266,0.235,0.460,0.578,0.077
ASEAN,Vietnam,0.854,0.470,0.946,0.355,0.541,0.660,0.685,0.671
LAC,,0.814,0.496,0.416,0.376,0.248,0.549,0.633,0.134
ASEAN,,0.743,0.539,0.681,0.464,0.582,0.645,0.666,0.382
OECD,,0.864,0.743,0.936,0.731,0.564,0.744,0.850,0.219
