country,year,povertyRateNational,extremePovertyRateNational,povertyRateUrban,extremePovertyRateUrban,povertyRateRural,extremePovertyRateRural
Bolívia,2006,63.5,34.4,54,18.8,79.8,61.1
Bolívia,2007,59.4,31.2,51.3,17.6,74.5,56.6
Bolívia,2008,46.5,21.4,37.8,9.7,63.1,43.8
Bolívia,2009,42,19.3,32.7,8.1,60.2,41
Bolívia,2011,36.3,15.7,27.1,5.9,55.1,35.5
Bolívia,2012,35.9,16.5,26.8,6.6,54.6,37
Bolívia,2013,34.3,15.6,23.8,5.3,56.1,37.3
Bolívia,2014,33.7,14.9,24.2,5.5,53.9,34.9
Bolívia,2015,34.7,14.6,26.3,5.8,53,33.8
Bolívia,2016,35.1,16.7,26,7.1,55.1,37.8
Bolívia,2017,34.9,16.4,25.2,6.5,56.6,38.6
Bolívia,2018,33.1,14.8,23.3,5.3,55.6,36.4
Bolívia,2019,31,12,24.4,4.9,46,28.3
Bolívia,2020,32.3,13.5,25.4,6.2,48.5,30.6
Bolívia,2021,29,10,23.3,4,42.8,24.1
Brasil,2001,38.4,7.4,35.1,5.6,55.5,16.5
Brasil,2002,37.8,6.3,34.6,4.8,54.8,14.2
Brasil,2003,38.8,7.6,36,5.9,54.2,16.5
Brasil,2004,36.8,6.4,33.8,4.9,51,13.3
Brasil,2005,34.4,5.1,31.4,3.9,48.3,10.7
Brasil,2006,29.1,4.1,26.2,3,43.4,9.4
Brasil,2007,27.8,4.7,24.9,3.7,42.1,9.8
Brasil,2008,25.3,4.3,22.5,3.2,39.3,9.6
Brasil,2009,23.8,4.3,21.5,3.3,35.4,9.4
Brasil,2011,21,4.4,18.8,3.4,33.8,10.3
Brasil,2012,18.5,3.9,16.4,3.1,30.2,8.5
Brasil,2013,18.1,4.5,16.1,3.6,29.2,9.2
Brasil,2014,16.5,3.3,14.7,2.6,26.8,7.7
Brasil,2015,18.8,4,17,3.1,28.6,9
Brasil,2016,20.9,5.3,18.8,4.2,33.2,12
Brasil,2017,21.2,5.7,19.2,4.4,33.7,13.6
Brasil,2018,20.4,5.6,18.2,4.3,33.1,13.8
Brasil,2019,20.2,5.8,18,4.4,33.5,14
Brasil,2020,18.4,5.1,17.1,4.2,26.2,10.4
Brasil,2021,24.4,8.3,22.6,6.9,35.4,16.6
Brasil,2022,19.6,5.3,17.9,4.4,29.7,11.3
Chile,2000,42.8,6.3,41,5.3,54.2,12.2
Chile,2003,40,5.6,38.7,4.9,48.4,10.2
Chile,2006,35.6,3.9,34.8,3.4,40.5,7.3
Chile,2009,28.5,3.7,28.4,3.4,29.2,6.1
Chile,2011,24.8,3.1,24.8,2.9,24.2,4.5
Chile,2013,15.8,2,15.7,1.8,16,3.2
Chile,2015,13.2,1.7,13.3,1.6,12.2,2.5
Chile,2017,10.7,1.4,10.9,1.4,9.3,1.8
Chile,2020,13.9,4.5,14.4,4.4,10.7,4.9
Chile,2022,8.1,2.1,8.3,2,6.9,2.9
Colômbia,2002,53.8,23.8,49,17.1,67.6,42.7
Colômbia,2003,52.4,21.9,48.5,16.2,63.6,38.2
Colômbia,2004,52.3,21.3,47.2,15,67.2,39.8
Colômbia,2005,49.6,19.7,44.4,13.5,65,38.1
Colômbia,2008,44.6,20.7,38.6,14,63.4,41.6
Colômbia,2009,43.3,19.4,37.5,13.4,61.3,38.4
Colômbia,2010,39.3,16.4,34,10.9,55.6,33.3
Colômbia,2011,36,14.4,30.7,9.4,52.1,30
Colômbia,2012,34.5,13.8,28.9,8.8,52.1,29.4
Colômbia,2013,32.3,12.3,27.2,8,48.1,25.7
Colômbia,2014,29.9,11.2,24.8,6.8,45.7,24.9
Colômbia,2015,29.5,10.8,24.4,6.7,45.6,23.5
Colômbia,2016,29.7,11.4,25.2,7.5,43.8,23.9
Colômbia,2017,28.6,10.4,24.7,6.9,41,21.4
Colômbia,2018,28.6,10.3,24.6,6.8,41.4,21.4
Colômbia,2019,30.4,12.4,26,8.2,44.7,26
Colômbia,2020,39.8,19.2,37.9,17.2,46.3,26
Colômbia,2021,33.8,14.4,30.4,10.8,44.8,26.4
Costa Rica,2000,27.5,4.9,20.1,2.9,38,7.9
Costa Rica,2001,27.7,5.3,19.6,2.8,39.4,8.8
Costa Rica,2002,28.1,5.4,20.4,3,39,8.9
Costa Rica,2003,24.6,4.4,16.8,2.5,35.8,7.2
Costa Rica,2004,27.7,5.5,20.3,3.3,38.5,8.6
Costa Rica,2005,25.3,4.5,19.2,3,34,6.8
Costa Rica,2006,24.8,4.4,19.1,2.7,32.9,6.7
Costa Rica,2007,20.5,3,15.2,1.8,28.2,4.8
Costa Rica,2008,20.1,3.6,15,2.3,27.4,5.5
Costa Rica,2009,21.4,4.3,16.7,2.4,28.1,7
Costa Rica,2010,19,4.1,13.6,2,27.6,7.5
Costa Rica,2011,19.4,4.7,14.9,2.9,26.9,7.5
Costa Rica,2012,18.6,4.7,13.6,3.1,26.7,7.3
Costa Rica,2013,18.1,4.5,13.5,2.8,25.5,7.3
Costa Rica,2014,17.5,4.1,13.6,2.7,27.9,7.8
Costa Rica,2015,17.4,4.6,14.3,3.3,25.4,8.2
Costa Rica,2016,16.5,4.2,13.4,3.1,24.6,6.9
Costa Rica,2017,15.4,3.3,13.2,2.7,21,4.9
Costa Rica,2018,16.1,4,13.8,3.3,22.4,6.1
Costa Rica,2019,16.5,3.4,14.5,2.9,21.7,4.5
Costa Rica,2020,19.4,4,18.4,3.8,22.3,4.8
Costa Rica,2021,17.3,3.7,15.3,3,22.5,5.7
Costa Rica,2022,16.6,3.3,14.2,2.6,22.9,5.3
Equador,2001,53.5,20.2,48,14.3,63.7,30.8
Equador,2003,48.7,16.3,41.7,11.3,62.1,26.1
Equador,2005,40.4,13.2,33.1,7.9,54.6,23.5
Equador,2006,35.6,9.8,28.2,5.1,50.2,19
Equador,2007,35.2,10.3,26.5,5.1,52.2,20.7
Equador,2008,34.7,10.8,26.1,5.9,51.5,20.4
Equador,2009,35.6,11.4,28.7,7,49.2,20.2
Equador,2010,32.7,10,26.4,6.2,45.3,17.6
Equador,2011,29.2,9.1,21.9,4.7,43.6,17.9
Equador,2012,26.6,8.7,19.2,4.3,41.3,17.3
Equador,2013,26.4,6.8,22.1,4.1,35.6,12.2
Equador,2014,23.4,5.9,20.2,3.7,30.2,10.8
Equador,2015,23.9,7,19.6,4.1,33,13
Equador,2016,24.3,7.5,20.3,4.6,32.7,13.8
Equador,2017,23.6,7,18.6,3.5,34.6,14.4
Equador,2018,24.2,6.5,19.7,3.7,33.8,12.6
Equador,2019,25.7,7.6,21.2,4.1,35.4,15.2
Equador,2020,30.6,10.8,26.6,6,39.3,21.2
Equador,2021,28.6,7.6,26.4,5.5,33.1,12
Equador,2022,25.7,6.9,22.1,4.1,33.4,12.8
El Salvador,2000,49.1,17.5,35,8,68.9,30.8
El Salvador,2001,50.6,19.1,37.2,9.8,69.6,32.4
El Salvador,2002,48.8,18.7,35.9,9.6,67.3,31.8
El Salvador,2003,49.6,17.7,36.4,9,68.5,30.3
El Salvador,2004,49.7,16.4,37.2,9.5,68.1,26.7
El Salvador,2005,51.6,19.7,39,9.1,70.4,35.4
El Salvador,2006,49.1,15.1,38,7.3,65.8,26.7
El Salvador,2007,48.3,13.2,36.2,5.8,68.6,25.7
El Salvador,2009,50.1,17.1,38.8,9,69.4,30.9
El Salvador,2010,49.8,15.9,38.5,8.5,68.6,28.1
El Salvador,2012,48,12.7,37.4,6.5,65.8,23.2
El Salvador,2013,44.2,11.8,33.8,6.1,61.4,21.1
El Salvador,2014,44.6,11.7,33.9,5.5,62.1,21.9
El Salvador,2015,42.6,10.4,33.5,5.3,57.7,18.9
El Salvador,2016,40.4,10.7,30.1,5,57.1,19.8
El Salvador,2017,37.8,8.3,28.3,4.1,52.2,14.7
El Salvador,2018,34.5,7.6,25.8,4.1,48.6,13.2
El Salvador,2019,30.4,5.6,22.7,3.2,42.8,9.6
El Salvador,2020,30.8,8.3,23.6,4.6,42.2,14.4
El Salvador,2021,30.3,8.4,23.8,4.9,40.9,14.2
El Salvador,2022,29.8,8.7,23.1,5,40.7,14.8
Guatemala,2000,53.7,16.9,29.8,3.8,68.5,25
Guatemala,2006,42.7,10.4,23.8,3.8,60.2,16.5
Guatemala,2014,50.5,15.4,34.9,7.3,65.8,23.4
Honduras,2001,57.4,27.3,40.2,11.7,72.4,40.8
Honduras,2004,62.9,30.3,46,16.1,76.8,42.1
Honduras,2005,64.5,31.4,48.6,13.4,78,46.6
Honduras,2009,51,19.6,33.6,7.2,65.5,29.9
Honduras,2010,53.7,19.5,36.6,8.2,67.8,28.9
Honduras,2011,55.7,21.6,43.4,12.2,65.9,29.4
Honduras,2012,61.2,25.3,48.7,15.2,71.7,33.9
Honduras,2013,59.1,22.7,45.5,11.8,70.9,32.1
Honduras,2014,55.4,19.2,45.1,12.2,66.8,27
Honduras,2015,55.2,19,45.9,12.4,66,26.7
Honduras,2016,53.2,18.8,44,11.3,64,27.5
Honduras,2018,55.8,19.4,42.4,8.9,71.7,32
Honduras,2019,52.3,20,36.8,7.8,70.9,34.7
Honduras,2021,67.8,34.4,57.6,22.4,80.4,49.1
México,2000,48.8,13.8,39.8,6.1,75.3,36.6
México,2002,46.4,10.4,39.1,5.9,69,24
México,2004,42.8,8.8,37.2,5.1,60.5,20.7
México,2006,37.3,6.8,33,4.4,51.5,14.7
México,2008,43.1,11.8,36.4,6.9,65,28.1
México,2010,44.5,12.7,38.1,7.5,65.6,29.8
México,2012,44.4,12.9,38.8,8.7,62.7,26.8
México,2014,45.2,13,40.1,8.9,61.8,26.3
México,2016,37.6,8.4,33,5.3,52.9,19
México,2018,35.5,7.7,31.1,4.6,49,17.4
México,2020,37.4,9.2,34.5,6.9,47,16.8
México,2022,28.6,6.2,25.4,4.1,38.3,12.5
Nicarágua,2001,65.1,35.8,57,25.2,76.4,50.6
Nicarágua,2005,62.7,26.9,54,14.6,73.6,42.4
Nicarágua,2009,58.3,23.1,51.1,14.4,67.8,34.6
Nicarágua,2014,46.3,18.3,36.5,8.3,59.8,32.3
Panamá,2000,29.8,13.1,20,5.7,45.7,25
Panamá,2001,36.8,19.2,23.2,7,59,39
Panamá,2002,34,16.2,21.1,5.5,55.3,33.8
Panamá,2003,33.8,16.3,21.1,5.5,55.1,34.5
Panamá,2004,33.3,15.5,19.8,4.8,56.4,33.7
Panamá,2005,32.9,14.4,20.6,4.5,54.1,31.5
Panamá,2006,32.9,16,20.2,5,54.6,35
Panamá,2007,30,13.6,17.7,3.7,51.2,30.7
Panamá,2008,26.8,12.8,14.3,2.6,48.6,30.5
Panamá,2009,27.1,10.8,14.8,2.8,48.6,24.9
Panamá,2011,23.1,10.6,12.4,2.7,43.1,25.3
Panamá,2013,21.5,9.5,10.6,1.9,43.5,24.6
Panamá,2014,18.6,8,9.5,1.5,36.9,21.2
Panamá,2015,18.2,8.1,9,1.9,37.6,21.2
Panamá,2016,16.7,7.4,8.5,1.9,34.3,19.1
Panamá,2017,15.6,6.9,7.8,1.6,32.8,18.6
Panamá,2018,14.6,6.8,6.8,1.3,32.3,19.1
Panamá,2019,14.6,6.6,7.3,1.7,31.3,18
Panamá,2021,15.6,5.7,9.8,1.6,29.8,15.7
Panamá,2022,14.3,6.6,7.1,1.8,32.3,18.4
Paraguai,2001,37.7,13.2,21.8,3.5,56.2,24.4
Paraguai,2002,47.9,17.6,35,7,63.5,30.4
Paraguai,2003,41.9,13.7,32.5,6.2,53.3,22.8
Paraguai,2004,40.1,10.8,31.6,5.5,50.7,17.4
Paraguai,2005,34.4,10.1,27.5,4.7,43.1,16.9
Paraguai,2006,41.1,17.1,29.8,7.5,56,29.6
Paraguai,2007,35.9,14.3,25.9,6.2,49.1,24.9
Paraguai,2008,35,12.1,23.9,4.3,50,22.5
Paraguai,2009,34.4,13.2,21.3,4.6,52.4,25.1
Paraguai,2010,32.5,12.7,19.5,3.7,50.8,25.3
Paraguai,2011,31.6,13.3,20.3,5.5,47.7,24.3
Paraguai,2012,26.2,9.6,13.3,2.7,45,19.6
Paraguai,2013,22.9,7.1,14.4,2.9,35.5,13.3
Paraguai,2014,22.3,7.7,14.3,2.7,34.5,15.3
Paraguai,2015,23.4,7.3,14.3,2.2,37.3,15.2
Paraguai,2016,24,7.9,14.9,2.5,38.3,16.4
Paraguai,2017,21.6,6,13.8,2.2,34,12.1
Paraguai,2018,19.5,6.5,11.9,2.3,31.9,13.2
Paraguai,2019,19.4,6.2,12,2.8,31.6,11.8
Paraguai,2020,22.3,6,16.8,2.7,31.7,11.5
Paraguai,2021,20.9,6,14.7,2.7,31.5,11.6
Paraguai,2022,21.1,7.9,14.4,3.9,32.8,15.1
Peru,2001,45.1,16.3,34.3,7.3,68.4,35.7
Peru,2002,43.3,14.9,31.9,5.3,68.8,36.3
Peru,2003,63.5,25.9,54,14.5,85,52
Peru,2004,43.6,14.7,32.1,6,70.8,35.2
Peru,2005,46.8,16.1,36.5,7.4,71.8,37.1
Peru,2006,41.3,13.6,30.1,5.4,69,34.1
Peru,2007,35.8,11.7,24.5,3.9,65,31.9
Peru,2008,31.8,10.8,21.4,3.9,59.2,29.2
Peru,2009,28.8,8.6,19.7,3.1,53.5,23.4
Peru,2010,24.6,7,16.2,2.7,48.2,19.2
Peru,2011,23.1,6.7,15,2.3,46.3,19.3
Peru,2012,20.9,6.3,13.3,1.9,43.6,19.3
Peru,2013,20.5,5.8,13.4,2,42.1,17.4
Peru,2014,19.5,5.1,12.8,1.9,40.4,15.5
Peru,2015,19,5.4,12.3,2,40.7,16.4
Peru,2016,19.1,5.2,12.9,1.9,40.1,16.2
Peru,2017,18.9,5,12.4,1.7,41.4,16.6
Peru,2018,16.8,3.7,11.7,1.5,34.8,11.6
Peru,2019,15.4,3.1,11,1.2,31.4,9.7
Peru,2020,28.4,8.6,25.8,7.8,38.1,11.6
Peru,2021,18.6,3.9,16,2.5,29.1,9.5
Peru,2022,17.2,3.3,15,2.3,26,7.5
Rep. Dominicana,2000,32.5,9.5,25,5.7,44.7,15.8
Rep. Dominicana,2001,32.3,8.4,25.6,5.2,43.4,13.9
Rep. Dominicana,2002,33.6,11.6,27.1,7.1,45,19.4
Rep. Dominicana,2003,40.6,12.4,35.9,9.8,49.5,17.2
Rep. Dominicana,2004,50,20.8,45.3,16.3,59.2,29.5
Rep. Dominicana,2005,44.9,18,41.4,14.7,52.1,24.7
Rep. Dominicana,2006,42.1,15,37.8,11.3,51.7,23
Rep. Dominicana,2007,39.7,13,36.6,10.7,47,18.5
Rep. Dominicana,2008,41.6,15,37.6,11.4,51.4,24.2
Rep. Dominicana,2009,39.4,13.3,36.9,10.6,46,20.5
Rep. Dominicana,2010,40,13.2,37.7,11,46.5,19.4
Rep. Dominicana,2011,39.3,11.6,37.6,9.7,44.3,17.4
Rep. Dominicana,2012,38.3,12.6,36.3,10.5,44.7,19.1
Rep. Dominicana,2013,38.1,11.6,36,9.9,45.1,17.3
Rep. Dominicana,2014,32.9,9.7,30.6,7.9,41.3,16
Rep. Dominicana,2015,29.7,9.2,27.7,7.8,37,14.5
Rep. Dominicana,2016,26.7,7,26.1,6.2,28.8,10.4
Rep. Dominicana,2017,23.5,5.7,22.7,5,26.7,8.7
Rep. Dominicana,2018,20.9,4.6,20.5,4.1,22.5,6.7
Rep. Dominicana,2019,19,3.9,18.3,3.5,22.2,5.8
Rep. Dominicana,2020,21.8,5.6,21.9,5.3,21.6,7.1
Rep. Dominicana,2021,22.5,5.2,22.6,4.8,22,6.9
Rep. Dominicana,2022,20.4,5.1,20.4,4.9,20.4,6.2
Uruguai,2000,,,10.9,1.2,,
Uruguai,2001,,,16.1,2.8,,
Uruguai,2002,,,20.7,4.3,,
Uruguai,2003,,,27.3,5.9,,
Uruguai,2004,,,27.7,5.7,,
Uruguai,2005,,,25.7,4.7,,
Uruguai,2007,19.3,2.6,19.4,2.7,17.5,2.1
Uruguai,2008,14.2,1.1,14.3,1.2,12.3,1
Uruguai,2009,11.5,0.7,11.7,0.7,9.4,0.4
Uruguai,2010,9.7,0.5,9.8,0.5,7.8,0.5
Uruguai,2011,6.9,0.3,7,0.3,6.1,0.1
Uruguai,2012,6.1,0.3,6.2,0.3,4.2,0.2
Uruguai,2013,5.7,0.3,5.9,0.3,3.1,0.2
Uruguai,2014,4.5,0.2,4.5,0.2,3.8,0.4
Uruguai,2015,4.1,0.2,4.2,0.2,2.8,0.2
Uruguai,2016,3.6,0.2,3.7,0.1,2,0.4
Uruguai,2017,2.6,0.1,2.7,0.1,1.7,0.1
Uruguai,2018,2.9,0.1,3,0.1,1.8,0.1
Uruguai,2019,3,0.1,3,0.1,2.4,0.2
Uruguai,2020,5,0.3,4.8,0.3,8.8,0.3
Uruguai,2021,4.8,0.1,4.9,0.1,3.1,0.1
Uruguai,2022,4.4,0.3,4.5,0.3,2.5,0.6
Venezuela,2000,44.2,4.8,,,,
Venezuela,2001,43,4.4,,,,
Venezuela,2002,51.7,7.2,,,,
Venezuela,2003,57.2,9.2,,,,
Venezuela,2004,50.8,8,,,,
Venezuela,2005,43,9.1,,,,
Venezuela,2006,31.3,5.1,,,,
Venezuela,2007,25.2,3.7,,,,
Venezuela,2008,24.7,4.7,,,,
Venezuela,2009,24.2,4.5,,,,
Venezuela,2010,24.9,4.9,,,,
Venezuela,2011,26,5.7,,,,
Venezuela,2012,20.9,5.1,,,,
Venezuela,2013,27.3,9,,,,
Venezuela,2014,28.3,12,,,,
