country,category,low,medium,high
Uruguai,Participação da mão de obra,-0.2027623951,-0.06676371396,-0.03116386198
Uruguai,Emprego,-0.240864113,-0.09442859888,-0.02789675258
Uruguai,Horas trabalhadas,-0.189014405,-0.1325074136,-0.112185657
Uruguai,Salário por hora,-0.1733959913,-0.1863816231,-0.1891701967
Uruguai,Renda do trabalho,-0.3654401302,-0.3010183275,-0.2880655527
Venezuela,Participação da mão de obra,-0.4081010222,-0.2890298069,-0.08452967554
Venezuela,Emprego,-0.4233854115,-0.3163745105,-0.1120133996
Venezuela,Horas trabalhadas,-0.1543507576,-0.1415089071,-0.09739916772
Venezuela,Salário por hora,-0.1955752224,-0.1634858251,-0.1414948553
Venezuela,Renda do trabalho,-0.36239326,-0.2933239639,-0.2441660166
