country,cohort,nonUniversity,university
México,1990,19.57603959,61.30206726
México,1991,18.41191204,54.23144518
Nicarágua,1946,3.68852459,16.66666667
Nicarágua,1947,2.166064982,0
Nicarágua,1970,7.934508816,25.86206897
Nicarágua,1971,6.310160428,39.43661972
Nicarágua,1980,13.11311311,55.24861878
Nicarágua,1981,14.88616462,47.00854701
Panamá,1935,4.597701149,0
Panamá,1936,9.183673469,0
Panamá,1945,5.241935484,54.54545455
Panamá,1946,4.560260586,26.66666667
Panamá,1955,12.86307054,30.43478261
Panamá,1956,10.71428571,34.69387755
Panamá,1965,13.81294964,39.74358974
Panamá,1966,10.37613489,44.08602151
Panamá,1975,15.50190597,53.16455696
Panamá,1976,13.24422843,49.73262032
Panamá,1985,19.08177905,52.67489712
Panamá,1986,16.19537275,48.17813765
Peru,1968,8.599329544,26.00422833
Peru,1969,6.683564568,22.87282708
Peru,1982,12.89772727,36.76333022
Peru,1983,9.323623524,31.88137164
Porto Rico,1955,14.42687747,53.57142857
Porto Rico,1956,14.67741935,50
Porto Rico,1965,17.63497104,55.25846702
Porto Rico,1966,14.0874036,41.53846154
Porto Rico,1975,21.17326258,45.96456693
Porto Rico,1976,17.51435603,42.94413556
Porto Rico,1980,25.20643723,47.93019481
Porto Rico,1981,16.69948583,50.46395432
Porto Rico,1985,13.49290545,36.10943472
Porto Rico,1986,21.60837876,31.54141525
Paraguai,1937,2.43902439,33.33333333
Paraguai,1938,3.424657534,0
Paraguai,1947,7.045454545,33.33333333
Paraguai,1948,4.956896552,40.90909091
Paraguai,1957,7.571428571,30.3030303
Paraguai,1958,6.324582339,39.28571429
Paraguai,1967,6.225680934,46.57534247
Paraguai,1968,6.643757159,44.61538462
Paraguai,1977,10.5258656,50.24280145
Paraguai,1978,9.564330711,45.40400326
El Salvador,1967,9.60960961,51.42857143
El Salvador,1968,8.469945355,22
El Salvador,1982,14.62450593,47.22222222
El Salvador,1983,14.0625,40
T&T,1955,1.632653061,55.55555556
T&T,1956,0.847457627,22.22222222
T&T,1965,1.85348632,0
T&T,1966,1.073492981,11.11111111
T&T,1975,3.983656793,33.33333333
T&T,1976,1.395348837,22.22222222
T&T,1986,6.916426513,30.26315789
T&T,1987,7.207837649,22.07792208
Uruguai,1960,1.587301587,5.555555556
Uruguai,1961,1.990049751,5
Uruguai,1971,6.496519722,29.62962963
Uruguai,1972,3.118040089,37.5
Uruguai,1986,2.964959569,11.84210526
Uruguai,1987,2.739726027,11.11111111
Venezuela,1946,2.056776414,19.37984496
Venezuela,1947,1.70178282,17.35294118
Venezuela,1956,7.092772384,31.74603175
Venezuela,1957,4.820126969,27.30923695
Venezuela,1965,7.467652495,28.59327217
Venezuela,1966,6.194849631,19.97327989
Venezuela,1976,6.721014493,23.11827957
Venezuela,1977,5.377373544,20.70588235
