country,category,low,medium,high
Paraguay,Employment,-0.3609202504,-0.2991118729,-0.0860375911
Paraguay,Hours worked,-0.147395134,-0.1295309216,-0.1174858883
Paraguay,Hourly wage,-0.3392356932,-0.1033985168,-0.1933566332
Paraguay,Labor income,-0.4333102405,-0.3021381497,-0.2522333264
El Salvador,Labor participation,-0.4178986847,-0.2722344398,-0.1084217578
El Salvador,Employment,-0.4176740646,-0.2621757984,-0.1153550297
El Salvador,Hours worked,-0.109352462,-0.05497471243,-0.06903589517
El Salvador,Hourly wage,-0.02747156844,-0.03300894424,-0.003907252569
El Salvador,Labor income,-0.168634817,-0.09986586869,-0.1476265639
Uruguay,Labor participation,-0.2027623951,-0.06676371396,-0.03116386198
Uruguay,Employment,-0.240864113,-0.09442859888,-0.02789675258
Uruguay,Hours worked,-0.189014405,-0.1325074136,-0.112185657
Uruguay,Hourly wage,-0.1733959913,-0.1863816231,-0.1891701967
Uruguay,Labor income,-0.3654401302,-0.3010183275,-0.2880655527
Venezuela,Labor participation,-0.4081010222,-0.2890298069,-0.08452967554
Venezuela,Employment,-0.4233854115,-0.3163745105,-0.1120133996
Venezuela,Hours worked,-0.1543507576,-0.1415089071,-0.09739916772
Venezuela,Hourly wage,-0.1955752224,-0.1634858251,-0.1414948553
Venezuela,Labor income,-0.36239326,-0.2933239639,-0.2441660166
