country,category,low,medium,high
Ecuador,Participación laboral,-0.3882519603,-0.3378585577,-0.1030237451
Ecuador,Empleo,-0.3857678175,-0.3445493281,-0.08607400954
Ecuador,Horas trabajadas,-0.2554717362,-0.2020412385,-0.0590422973
Ecuador,Salario horario,-0.179334566,-0.1484028697,-0.2330164313
Ecuador,Ingreso laboral,-0.367068857,-0.2933228016,-0.3457033038
Guatemala,Participación laboral,-0.5395656824,-0.2690317631,-0.09644454718
Guatemala,Empleo,-0.5378721952,-0.275112927,-0.1141182929
Guatemala,Horas trabajadas,-0.2532025278,-0.1852595508,-0.1632844657
Guatemala,Salario horario,0.02478636242,-0.0415299125,-0.3554469347
Guatemala,Ingreso laboral,-0.3181388676,-0.2895667851,-0.4712572396
Honduras,Participación laboral,-0.4690788686,-0.2525655627,-0.07368387282
Honduras,Empleo,-0.4856780171,-0.269426018,-0.109562479
Honduras,Horas trabajadas,-0.2367931753,-0.1479291916,-0.1545799524
Honduras,Salario horario,-0.06609411538,-0.0800800398,-0.1366696656
Honduras,Ingreso laboral,-0.2652361095,-0.248317644,-0.234961316
México,Participación laboral,-0.372081697,-0.3020753562,-0.144504711
México,Empleo,-0.3654038608,-0.2948712409,-0.1401487738
México,Horas trabajadas,-0.2304267138,-0.1886334717,-0.1237511039
México,Salario horario,-0.1990541816,-0.1114837825,-0.1394112408
México,Ingreso laboral,-0.4036443233,-0.3591635823,-0.2649241388
Nicaragua,Participación laboral,-0.4180021882,-0.2713906467,-0.09731154144
Nicaragua,Empleo,-0.4236146212,-0.2754098475,-0.1166623309
Nicaragua,Horas trabajadas,-0.2257262319,-0.1480800658,-0.05510211736
Nicaragua,Salario horario,-0.1194811016,-0.07449963689,-0.1593813896
Nicaragua,Ingreso laboral,-0.3448005915,-0.2678916752,-0.2939381301
Panamá,Participación laboral,-0.4461684823,-0.282313168,-0.1114885136
Panamá,Empleo,-0.4377191961,-0.2962864637,-0.1363316178
Panamá,Horas trabajadas,-0.2627033889,-0.08301668614,-0.05653169006
Panamá,Salario horario,-0.1305653006,-0.1243451759,-0.227965191
Panamá,Ingreso laboral,-0.3837893307,-0.09161212295,-0.2736983299
Perú,Participación laboral,-0.1549925804,-0.2211580426,-0.1506755352
Perú,Empleo,-0.1610121429,-0.2397613376,-0.1654802859
Perú,Horas trabajadas,-0.1764404923,-0.1698080152,-0.1078617871
Perú,Salario horario,-0.1889204383,-0.1775452048,-0.1161059588
Perú,Ingreso laboral,-0.2901753485,-0.323263526,-0.232217133
Paraguay,Participación laboral,-0.3512405157,-0.2654104233,-0.08686163276
Paraguay,Empleo,-0.3609202504,-0.2991118729,-0.0860375911
Paraguay,Horas trabajadas,-0.147395134,-0.1295309216,-0.1174858883
Paraguay,Salario horario,-0.3392356932,-0.1033985168,-0.1933566332
Paraguay,Ingreso laboral,-0.4333102405,-0.3021381497,-0.2522333264
El Salvador,Participación laboral,-0.4178986847,-0.2722344398,-0.1084217578
El Salvador,Empleo,-0.4176740646,-0.2621757984,-0.1153550297
El Salvador,Horas trabajadas,-0.109352462,-0.05497471243,-0.06903589517
El Salvador,Salario horario,-0.02747156844,-0.03300894424,-0.003907252569
El Salvador,Ingreso laboral,-0.168634817,-0.09986586869,-0.1476265639
Uruguay,Participación laboral,-0.2027623951,-0.06676371396,-0.03116386198
Uruguay,Empleo,-0.240864113,-0.09442859888,-0.02789675258
Uruguay,Horas trabajadas,-0.189014405,-0.1325074136,-0.112185657
Uruguay,Salario horario,-0.1733959913,-0.1863816231,-0.1891701967
Uruguay,Ingreso laboral,-0.3654401302,-0.3010183275,-0.2880655527
Venezuela,Participación laboral,-0.4081010222,-0.2890298069,-0.08452967554
Venezuela,Empleo,-0.4233854115,-0.3163745105,-0.1120133996
Venezuela,Horas trabajadas,-0.1543507576,-0.1415089071,-0.09739916772
Venezuela,Salario horario,-0.1955752224,-0.1634858251,-0.1414948553
Venezuela,Ingreso laboral,-0.36239326,-0.2933239639,-0.2441660166
