country,year,ageGroup0To14,ageGroup15To24,ageGroup25To34,ageGroup35To44,ageGroup45To54,ageGroup55To64,ageGroup65Plus,total
Ecuador,2011,40.40,27.00,24.30,27.30,22.00,19.20,27.50,29.20
Ecuador,2012,37.50,26.00,20.50,26.00,19.50,17.70,24.30,26.60
Ecuador,2013,38.00,23.40,23.30,24.30,18.00,17.10,19.30,26.40
Ecuador,2014,32.90,21.60,20.00,21.30,15.60,15.10,16.60,23.40
Ecuador,2015,33.50,22.20,20.60,20.60,16.90,15.70,16.90,23.90
Ecuador,2016,32.40,24.00,20.10,22.30,18.90,16.70,18.30,24.30
Ecuador,2017,32.90,23.70,20.10,21.40,15.90,14.80,16.70,23.60
Ecuador,2018,34.30,25.30,19.90,22.50,16.90,15.10,14.40,24.20
Ecuador,2019,37.20,26.10,22.40,22.90,19.40,15.00,14.00,25.70
Ecuador,2020,43.50,31.60,27.00,27.70,22.30,20.70,15.70,30.60
Ecuador,2021,39.30,30.10,24.30,27.90,21.40,18.90,14.80,28.50
Ecuador,2022,36.20,26.80,22.50,23.00,18.30,16.80,15.90,25.70
Ecuador,2023,36.40,25.90,21.50,22.50,18.50,15.80,16.00,25.30
El Salvador,2001,62.20,47.60,44.50,44.00,39.60,41.40,43.80,50.60
El Salvador,2002,60.30,46.30,42.70,42.70,37.70,39.30,41.70,48.80
El Salvador,2003,60.70,47.10,43.50,41.20,39.10,40.50,44.50,49.50
El Salvador,2004,61.40,48.50,43.80,43.50,38.00,36.20,42.00,49.70
El Salvador,2005,62.70,50.70,46.10,45.90,41.50,39.40,42.10,51.60
El Salvador,2006,60.70,48.10,43.60,43.20,38.50,36.00,40.20,49.10
El Salvador,2007,60.20,47.30,43.20,42.00,37.50,36.90,40.50,48.30
El Salvador,2009,62.20,49.10,46.10,44.80,39.30,35.70,42.20,50.10
El Salvador,2010,62.20,49.00,45.20,43.90,38.90,38.10,41.10,49.80
El Salvador,2012,59.80,49.30,44.20,43.90,36.40,34.80,40.10,48.00
El Salvador,2013,56.20,45.50,39.40,40.60,34.00,31.80,35.90,44.20
El Salvador,2014,56.40,45.70,40.30,40.60,35.40,32.80,36.50,44.50
El Salvador,2015,55.30,42.40,41.60,37.50,33.40,30.40,34.00,42.60
El Salvador,2016,53.10,41.00,38.70,37.60,28.90,29.40,32.10,40.40
El Salvador,2017,50.00,38.30,36.00,34.90,28.00,27.80,29.30,37.80
El Salvador,2018,47.50,34.30,33.60,31.60,25.00,23.30,27.10,34.50
El Salvador,2019,42.90,30.10,28.60,28.60,22.00,19.90,23.90,30.40
El Salvador,2020,43.00,29.70,27.90,31.00,22.30,21.60,25.40,30.70
El Salvador,2021,43.00,29.60,28.30,28.70,22.10,21.00,24.70,30.30
El Salvador,2022,42.80,27.60,28.20,28.40,20.40,22.40,25.70,29.80
El Salvador,2023,40.00,25.60,25.30,26.50,21.00,21.10,24.80,27.90
Guatemala,2000,63.00,44.10,50.50,48.70,42.20,43.40,47.60,53.60
Guatemala,2006,52.80,36.30,36.90,36.90,31.40,31.10,35.90,42.70
Guatemala,2014,61.40,47.90,44.00,45.40,39.40,38.00,43.10,50.50
Honduras,2001,66.20,50.70,51.40,51.90,49.10,50.80,54.50,57.40
Honduras,2004,71.10,57.40,57.20,58.70,53.70,55.40,60.70,62.90
Honduras,2005,72.70,59.60,57.60,59.90,55.90,57.80,63.90,64.50
Honduras,2009,61.20,46.20,44.80,47.00,41.90,42.00,46.20,51.00
Honduras,2010,63.80,48.80,47.50,49.40,45.40,46.80,49.90,53.60
Honduras,2011,65.40,52.60,49.50,51.80,47.40,47.70,51.20,55.70
Honduras,2012,71.60,57.70,54.50,57.20,53.80,51.80,57.80,61.20
Honduras,2013,70.20,55.00,53.40,55.00,49.70,49.00,54.60,59.10
Honduras,2014,65.20,53.00,50.20,51.30,46.90,44.50,50.30,55.30
Honduras,2015,65.30,52.00,49.70,50.80,47.00,48.20,51.20,55.20
Honduras,2016,64.40,50.00,48.60,49.40,43.10,45.10,46.70,53.20
Honduras,2018,66.70,52.80,51.40,53.70,46.20,45.90,49.70,55.70
Honduras,2019,62.80,52.60,45.20,46.60,45.60,44.00,47.50,52.30
Honduras,2023,67.60,54.20,51.10,53.70,45.00,49.30,52.00,56.00
México,2000,60.70,45.50,42.60,44.90,37.30,37.90,42.70,48.80
México,2002,58.60,44.30,41.20,41.80,35.20,35.70,37.80,46.40
México,2004,55.10,40.30,40.70,36.60,30.90,32.90,33.00,42.80
México,2006,49.80,34.30,36.60,31.10,25.10,24.60,29.10,37.30
México,2008,56.30,40.20,40.90,39.00,29.70,30.70,35.40,43.10
México,2010,57.80,42.20,43.50,39.60,32.20,32.70,35.60,44.50
México,2012,58.30,41.90,42.80,41.50,31.80,31.90,37.60,44.40
México,2014,58.40,44.50,42.60,41.80,34.50,32.90,37.70,45.20
México,2016,50.90,36.90,36.00,34.90,27.40,25.10,27.70,37.60
México,2018,49.30,34.40,33.50,33.90,24.60,23.90,28.20,35.50
México,2020,52.20,38.10,35.90,36.40,29.30,26.40,23.80,37.40
México,2022,43.00,27.90,27.60,28.30,20.30,18.40,17.30,28.60
Nicaragua,2001,74.30,61.80,60.00,59.10,54.70,52.50,56.50,65.10
Nicaragua,2005,72.30,60.40,58.50,58.40,52.10,50.30,53.60,62.70
Nicaragua,2009,67.50,56.90,54.70,52.30,47.50,49.70,52.30,58.30
Nicaragua,2014,55.20,44.50,44.80,43.10,34.90,33.90,44.10,46.30
Panamá,2001,50.20,35.10,30.60,29.60,25.00,26.40,29.10,36.60
Panamá,2002,46.60,33.00,28.10,27.70,23.30,24.30,26.10,34.00
Panamá,2003,46.50,31.80,29.30,28.20,21.20,22.80,26.70,33.60
Panamá,2004,46.30,30.40,28.90,27.10,22.00,23.70,26.50,33.10
Panamá,2005,45.80,30.40,27.60,27.90,22.50,22.50,26.80,32.80
Panamá,2006,46.30,31.50,26.90,27.00,20.80,22.60,25.20,32.50
Panamá,2007,42.80,29.20,25.60,23.00,18.90,19.40,22.00,29.60
Panamá,2008,39.10,24.60,22.50,20.80,15.10,16.80,20.20,26.20
Panamá,2009,38.70,25.90,22.10,20.70,16.80,17.40,21.40,26.50
Panamá,2011,30.70,22.90,19.70,16.40,15.50,14.50,12.10,21.40
Panamá,2013,33.90,22.20,16.10,16.90,13.30,12.40,13.30,21.50
Panamá,2014,29.20,18.10,14.60,14.00,11.10,12.00,11.80,18.40
Panamá,2015,29.20,18.40,14.80,12.80,11.50,11.90,11.70,18.30
Panamá,2016,27.50,17.00,14.00,11.90,11.10,9.80,8.60,16.80
Panamá,2017,25.70,16.20,12.40,11.70,9.70,11.00,7.80,15.80
Panamá,2018,24.60,15.30,10.90,12.10,8.90,9.80,8.60,15.00
Panamá,2019,25.80,14.90,12.00,11.40,8.60,9.00,6.90,15.00
Panamá,2021,26.70,16.90,14.20,12.80,11.10,9.90,7.50,15.70
Panamá,2022,25.70,15.70,12.30,11.10,9.70,8.00,6.60,14.30
Panamá,2023,26.00,16.20,12.30,11.20,9.20,8.10,6.00,14.30
Paraguay,2001,48.40,31.90,30.60,33.40,29.30,27.60,29.30,37.70
Paraguay,2002,58.50,43.80,39.50,42.80,41.00,37.90,37.80,47.90
Paraguay,2003,53.50,36.60,36.40,36.70,33.40,30.50,30.30,41.90
Paraguay,2004,50.90,35.00,34.30,33.90,31.70,29.60,35.80,40.10
Paraguay,2005,43.80,32.40,27.80,29.60,27.90,25.80,23.90,34.40
Paraguay,2006,53.00,37.10,33.60,37.80,33.80,27.60,32.50,41.20
Paraguay,2007,46.80,32.40,30.10,31.70,27.50,25.30,29.30,35.90
Paraguay,2008,46.40,30.70,26.40,30.70,29.60,25.20,27.40,35.00
Paraguay,2009,44.60,30.80,26.20,30.30,28.30,28.00,29.90,34.40
Paraguay,2010,41.80,30.00,24.40,26.10,27.50,26.80,32.50,32.50
Paraguay,2011,41.40,30.00,20.60,28.90,25.30,24.80,31.00,31.60
Paraguay,2012,35.10,22.90,19.40,23.30,20.70,21.30,24.90,26.20
Paraguay,2013,30.80,20.40,17.50,18.50,18.40,21.10,20.10,22.90
Paraguay,2014,31.20,20.70,15.60,20.50,16.30,18.00,16.60,22.30
Paraguay,2015,32.30,20.00,18.30,19.60,17.60,21.40,20.70,23.40
Paraguay,2016,33.20,20.50,19.10,20.70,18.50,20.10,21.10,24.00
Paraguay,2017,29.20,20.10,15.90,18.50,18.40,19.10,17.70,21.60
Paraguay,2018,26.70,18.60,13.60,16.50,15.10,18.00,17.10,19.50
Paraguay,2019,26.90,18.10,13.20,15.70,17.00,17.40,17.60,19.40
Paraguay,2020,30.30,22.00,16.50,19.40,16.50,20.20,18.40,22.30
Paraguay,2021,30.00,20.30,16.00,16.80,15.20,16.60,16.20,20.90
Paraguay,2022,31.70,22.00,17.10,19.60,19.60,20.00,20.10,22.80
Paraguay,2023,27.60,18.30,15.00,17.40,15.60,17.90,15.90,19.60
Perú,2001,57.60,41.10,38.70,40.80,37.70,34.10,33.60,45.10
Perú,2002,56.60,40.20,37.40,39.70,33.20,31.80,30.10,43.30
Perú,2003,75.80,63.20,57.60,60.30,54.10,49.30,48.80,63.40
Perú,2004,57.00,40.90,37.80,40.50,33.00,33.30,33.60,43.70
Perú,2005,60.10,45.50,40.50,43.00,38.00,34.70,35.50,46.80
Perú,2006,55.10,38.80,35.10,38.00,31.30,29.60,32.50,41.30
Perú,2007,48.80,33.10,31.40,31.30,26.50,25.30,27.30,35.80
Perú,2008,43.80,28.80,27.00,29.20,23.10,22.10,26.70,31.80
Perú,2009,40.20,25.60,24.40,26.90,20.30,19.50,26.00,28.80
Perú,2010,34.60,22.20,20.60,22.10,17.90,17.90,22.10,24.60
Perú,2011,33.20,20.10,19.00,21.70,16.40,15.80,21.30,23.10
Perú,2012,30.90,18.00,17.60,20.10,14.00,14.70,18.80,20.90
Perú,2013,30.20,17.90,16.40,19.50,14.90,13.90,18.60,20.50
Perú,2014,29.30,17.20,15.70,18.90,14.40,13.30,15.60,19.50
Perú,2015,28.10,17.30,15.50,18.60,14.10,12.10,15.20,19.00
Perú,2016,28.00,17.30,15.20,18.80,14.30,13.30,15.50,19.10
Perú,2017,28.00,16.60,16.30,18.30,13.50,13.60,15.10,18.90
Perú,2018,25.20,15.00,14.00,16.80,12.60,11.40,12.30,16.80
Perú,2019,23.30,13.80,13.90,15.10,11.30,9.80,11.50,15.40
Perú,2020,38.90,29.00,27.20,30.90,23.60,18.00,15.50,28.40
Perú,2021,28.20,16.60,16.60,19.70,13.70,12.00,12.30,18.60
Perú,2022,25.60,15.50,15.00,17.70,13.00,11.10,12.90,17.20
Perú,2023,26.90,17.10,15.20,18.90,14.20,13.00,13.60,18.20
Uruguay,2007,37.50,21.20,18.90,17.90,11.30,7.90,3.60,19.30
Uruguay,2008,29.30,15.70,13.90,13.00,7.90,5.20,2.50,14.30
Uruguay,2009,24.10,13.10,10.60,10.40,6.10,4.30,1.80,11.60
Uruguay,2010,20.90,11.20,9.40,8.60,5.10,3.20,1.00,9.80
Uruguay,2011,15.40,7.80,6.30,5.60,3.60,2.20,1.00,7.00
Uruguay,2012,13.80,7.10,5.30,5.10,2.90,1.70,0.70,6.10
Uruguay,2013,12.70,6.90,5.10,4.40,2.70,1.80,0.60,5.70
Uruguay,2014,10.10,5.60,3.70,3.50,2.00,1.50,0.60,4.50
Uruguay,2015,9.10,5.40,3.60,3.30,2.00,1.10,0.40,4.10
Uruguay,2016,7.90,4.80,2.90,2.90,1.80,1.10,0.40,3.60
Uruguay,2017,6.10,3.50,2.20,2.00,1.30,0.80,0.30,2.60
Uruguay,2018,6.60,4.00,2.50,2.30,1.20,0.90,0.30,2.90
Uruguay,2019,6.50,4.00,3.00,2.30,1.60,1.10,0.30,3.00
Uruguay,2020,10.30,7.20,4.80,4.40,3.00,1.80,0.60,5.00
Uruguay,2021,10.00,6.90,4.30,4.20,2.80,2.20,0.30,4.80
Uruguay,2022,9.40,5.60,4.60,3.60,2.50,1.80,0.50,4.30
Uruguay,2023,9.60,6.50,4.20,3.70,2.40,1.70,0.70,4.50
Venezuela,2001,55.20,40.70,37.90,36.60,31.50,31.30,35.20,42.90
Venezuela,2002,64.30,49.90,47.10,45.30,38.90,38.10,41.90,51.70
Venezuela,2003,69.90,56.70,52.80,50.60,44.30,42.80,45.60,57.20
Venezuela,2004,63.90,49.20,46.70,44.80,37.50,36.60,40.30,50.80
Venezuela,2005,55.40,41.20,39.00,37.10,31.50,30.60,35.10,43.00
Venezuela,2006,43.80,28.90,26.80,27.00,20.70,19.70,24.60,31.30
Venezuela,2007,36.60,23.70,21.20,20.90,16.20,14.90,18.40,25.20
Venezuela,2008,36.10,23.00,21.40,20.60,15.60,15.30,17.50,24.70
Venezuela,2009,35.70,23.20,20.80,20.10,15.60,14.80,17.00,24.20
Venezuela,2010,37.00,24.90,21.60,20.70,16.10,14.70,15.90,25.00
Venezuela,2011,38.60,26.30,22.90,21.30,16.70,15.00,16.80,26.00
Venezuela,2012,32.10,21.40,18.00,17.20,13.70,11.10,11.20,20.90
Venezuela,2013,40.70,28.20,24.20,23.30,18.60,15.20,15.90,27.30
Venezuela,2014,42.20,29.30,26.60,24.50,19.30,15.40,12.50,28.30
